country_name,population
Botswana,2351625
Ecuador,17643060
Equatorial Guinea,1402985
Guyana,786559
Italy,60359546
Kenya,53771300
Mali,20250834
Portugal,10276617
Thailand,69799978
Tanzania,59734213
South Africa,59308690
Andorra,77265
Burundi,11890781
Cuba,11326616
Cyprus,875899
Germany,83019213
Dominica,71991
Estonia,1324820
Greece,10724599
Haiti,11402533
Indonesia,273523621
Israel,8655541
India,1380004385
Jamaica,2961161
Japan,126476458
Oman,5106622
Pakistan,220892331
Serbia,6963764
Seychelles,98340
Slovenia,2080908
Togo,8278736
Argentina,44938712
Bosnia and Herzegovina,3280815
Switzerland,8544527
Ethiopia,114963583
Jordan,10203140
Mauritania,4649660
Mauritius,1271767
Maldives,540542
Nepal,29136808
Paraguay,7132530
Brazil,212559409
Canada,37742157
Central African Republic,4829764
Colombia,50882884
France,67012883
United Kingdom,66647112
Grenada,112519
Kuwait,4270563
Lithuania,2794184
Latvia,1919968
Myanmar,54409794
Malta,493559
Netherlands,17282163
Panama,4314768
Romania,19414458
Senegal,16743930
Uganda,45741000
Zimbabwe,14862927
Malaysia,32655400
Austria,8858775
Australia,25499881
Belarus,9449321
Honduras,9904608
Mongolia,3278292
Malawi,19129955
Sudan,43849269
Sweden,10230185
El Salvador,6486201
Chad,16425859
Trinidad and Tobago,1399491
Barbados,287371
Benin,12123198
Bolivia,11673029
Guinea,13132792
Hungary,9772756
Iceland,356991
Liberia,5057677
Niger,24206636
Norway,5328212
New Zealand,4822233
Papua New Guinea,8947027
Turkey,82003882
Uruguay,3473727
Samoa,198410
Czech Republic,10649800
Belgium,11455519
Costa Rica,5094114
Ghana,31072945
Guatemala,17915567
Iraq,40222503
Comoros,869595
Poland,37972812
Qatar,2881060
Rwanda,12952209
Suriname,586634
United Arab Emirates,9890400
Angola,32866267
Bhutan,771612
Chile,17574003
Denmark,5806081
Algeria,43851043
Spain,46937060
Lebanon,6825442
Morocco,36910558
Moldova,4033963
Nicaragua,6624554
Singapore,5850343
Swaziland,1160164
Tunisia,11818618
Bangladesh,164689383
Gabon,2225728
Croatia,4076246
Sri Lanka,21413250
Namibia,2540916
Nigeria,206139587
Peru,29381884
Saudi Arabia,34813867
Solomon Islands,686878
Vanuatu,307150
Afghanistan,38928341
Antigua and Barbuda,97928
Burkina Faso,20903278
Bulgaria,7000039
Bahrain,1701583
Belize,397621
China,1439323774
Dominican Republic,10847904
Finland,5517919
Fiji,896444
Guinea-Bissau,1967998
Luxembourg,613894
Mexico,110991953
Mozambique,31255435
Philippines,100979303
Vietnam,97338583
Zambia,18383956
